@relation AliensData

@attribute GameTick numeric
@attribute class {0,1,2,3}

@data
0.0,0
1.0,0
2.0,2
3.0,2
4.0,2
5.0,2
6.0,2
7.0,2
8.0,2
9.0,2
10.0,2
11.0,2
12.0,2
13.0,2
14.0,2
15.0,2
16.0,2
17.0,2
18.0,2
19.0,2
20.0,2
21.0,2
22.0,2
23.0,2
24.0,2
25.0,2
26.0,1
27.0,1
28.0,1
29.0,0
30.0,0
31.0,1
32.0,1
33.0,0
34.0,0
35.0,1
36.0,1
37.0,0
38.0,0
39.0,3
40.0,3
41.0,3
42.0,3
43.0,3
44.0,3
45.0,0
46.0,0
47.0,0
48.0,0
49.0,1
50.0,1
51.0,0
52.0,0
53.0,3
54.0,3
55.0,3
56.0,3
57.0,3
58.0,3
59.0,0
60.0,0
61.0,0
62.0,0
63.0,1
64.0,1
65.0,1
66.0,0
67.0,3
68.0,3
69.0,3
70.0,3
71.0,3
72.0,3
73.0,0
74.0,0
75.0,0
76.0,0
77.0,1
78.0,0
79.0,0
80.0,0
81.0,3
82.0,3
83.0,0
84.0,0
85.0,1
86.0,1
87.0,1
88.0,0
89.0,0
90.0,0
91.0,1
92.0,1
93.0,0
94.0,0
95.0,0
96.0,0
97.0,2
98.0,2
99.0,2
100.0,2
101.0,2
102.0,0
103.0,1
104.0,0
105.0,0
106.0,0
107.0,1
108.0,3
109.0,3
110.0,3
111.0,3
112.0,3
113.0,3
114.0,3
115.0,3
116.0,0
117.0,0
118.0,1
119.0,1
120.0,0
121.0,0
122.0,1
123.0,1
124.0,1
125.0,0
126.0,0
127.0,1
128.0,1
129.0,1
130.0,0
131.0,0
132.0,1
133.0,1
134.0,0
135.0,0
136.0,0
137.0,1
138.0,1
139.0,0
140.0,0
141.0,0
142.0,1
143.0,1
144.0,0
145.0,0
146.0,1
147.0,1
148.0,1
149.0,2
150.0,2
151.0,2
152.0,2
153.0,0
154.0,1
155.0,0
156.0,0
157.0,0
158.0,1
159.0,1
160.0,1
161.0,0
162.0,0
163.0,0
164.0,1
165.0,1
166.0,0
167.0,0
168.0,0
169.0,1
170.0,1
171.0,1
172.0,0
173.0,0
174.0,2
175.0,2
176.0,2
177.0,2
178.0,0
179.0,0
180.0,1
181.0,1
182.0,0
183.0,0
184.0,0
185.0,1
186.0,1
187.0,0
188.0,0
189.0,0
190.0,1
191.0,1
192.0,1
193.0,0
194.0,0
195.0,0
196.0,1
197.0,1
198.0,0
199.0,0
200.0,0
201.0,1
202.0,2
203.0,2
204.0,2
205.0,0
206.0,1
207.0,1
208.0,1
209.0,0
210.0,0
211.0,1
212.0,1
213.0,1
214.0,0
215.0,0
216.0,1
217.0,1
218.0,1
219.0,0
220.0,0
221.0,0
222.0,2
223.0,0
224.0,0
225.0,0
226.0,0
227.0,0
228.0,1
229.0,1
230.0,1
231.0,1
232.0,2
233.0,2
234.0,0
235.0,1
236.0,1
237.0,0
238.0,0
239.0,1
240.0,1
241.0,1
242.0,1
243.0,0
244.0,2
245.0,2
246.0,2
247.0,0
248.0,0
249.0,0
250.0,1
251.0,1
252.0,1
253.0,0
254.0,0
255.0,0
256.0,1
257.0,1
258.0,1
259.0,0
260.0,0
261.0,2
262.0,2
263.0,0
264.0,0
265.0,0
266.0,1
267.0,1
268.0,1
269.0,0
270.0,0
271.0,1
272.0,1
273.0,1
274.0,2
275.0,2
276.0,2
277.0,0
278.0,0
279.0,0
280.0,0
281.0,0
282.0,1
283.0,1
284.0,0
285.0,0
286.0,0
287.0,2
288.0,2
289.0,2
290.0,2
291.0,0
292.0,0
293.0,1
294.0,1
295.0,0
296.0,0
297.0,0
298.0,1
299.0,1
300.0,2
301.0,2
302.0,0
303.0,0
304.0,1
305.0,1
306.0,0
307.0,0
308.0,2
309.0,2
310.0,0
311.0,0
312.0,0
313.0,1
314.0,1
315.0,1
316.0,0
317.0,0
318.0,1
319.0,1
320.0,1
321.0,0
322.0,0
323.0,1
324.0,1
325.0,1
326.0,0
327.0,0
328.0,0
329.0,1
330.0,1
331.0,1
332.0,3
333.0,3
334.0,0
335.0,1
336.0,1
337.0,1
338.0,0
339.0,0
340.0,0
341.0,1
342.0,1
343.0,1
344.0,1
345.0,3
346.0,3
347.0,0
348.0,1
349.0,1
350.0,1
351.0,1
352.0,0
353.0,0
354.0,0
355.0,1
356.0,1
357.0,1
358.0,0
359.0,0
360.0,1
361.0,1
362.0,1
363.0,0
364.0,0
365.0,0
366.0,1
367.0,1
368.0,1
369.0,3
370.0,3
371.0,0
372.0,0
373.0,0
374.0,0
375.0,1
376.0,1
377.0,0
378.0,0
379.0,0
380.0,1
381.0,3
382.0,3
383.0,3
384.0,0
385.0,0
386.0,1
387.0,1
388.0,1
389.0,0
390.0,0
391.0,0
392.0,1
393.0,1
394.0,1
395.0,3
396.0,3
397.0,3
398.0,1
399.0,1
400.0,1
401.0,0
402.0,0
403.0,0
404.0,1
405.0,1
406.0,1
407.0,0
408.0,3
409.0,3
410.0,3
411.0,1
412.0,1
413.0,1
414.0,0
415.0,0
416.0,0
417.0,1
418.0,1
419.0,1
420.0,1
421.0,0
422.0,0
423.0,3
424.0,3
425.0,0
426.0,0
427.0,0
428.0,0
429.0,1
430.0,1
431.0,1
432.0,1
433.0,0
434.0,3
435.0,3
436.0,1
437.0,1
438.0,1
439.0,0
440.0,0
441.0,0
442.0,1
443.0,1
444.0,1
445.0,0
446.0,0
447.0,1
448.0,1
449.0,1
450.0,1
451.0,3
452.0,3
453.0,0
454.0,1
455.0,1
456.0,1
457.0,0
458.0,0
459.0,0
460.0,0
461.0,0
462.0,1
463.0,1
464.0,1
465.0,0
466.0,0
467.0,1
468.0,1
469.0,1
470.0,0
471.0,0
472.0,0
473.0,1
474.0,1
475.0,0
476.0,0
477.0,0
478.0,1
479.0,1
480.0,0
481.0,0
482.0,1
483.0,1
484.0,1
485.0,1
486.0,1
487.0,1
488.0,3
489.0,3
490.0,3
491.0,3
492.0,1
493.0,1
494.0,1
495.0,0
496.0,0
497.0,0
498.0,1
499.0,1
500.0,1
501.0,1
502.0,0
503.0,0
504.0,0
505.0,1
506.0,1
507.0,0
508.0,3
509.0,3
510.0,3
511.0,0
512.0,0
513.0,0
514.0,0
515.0,1
516.0,1
517.0,1
518.0,1
519.0,0
520.0,0
521.0,1
522.0,1
523.0,2
524.0,2
525.0,2
526.0,0
527.0,0
528.0,1
529.0,1
530.0,0
531.0,0
532.0,0
533.0,1
534.0,1
535.0,2
536.0,0
537.0,0
538.0,0
539.0,1
540.0,1
541.0,0
542.0,0
543.0,0
544.0,2
545.0,2
546.0,2
547.0,0
548.0,0
549.0,1
550.0,1
551.0,1
552.0,0
553.0,0
554.0,1
555.0,1
556.0,2
557.0,0
558.0,0
559.0,1
560.0,1
561.0,1
562.0,0
563.0,0
564.0,0
565.0,1
566.0,1
